nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
A.B SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,LE PRE-SAINT-GERVAIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881323059,88132305900017,80.10Z,,,,,,,,,,,sirene,
A.E.G.S SARL AGENCE EUROPEENNE DE GARDIENNAGE ET SECURITE,,,a contacter,,,,,,,,,,,,securite,,CONCARNEAU,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530847938,53084793800020,80.10Z,,,,,,,,,,,sirene,
A.G.D. SECURITE - AGCE GARDIENNAGE DEP,,,a contacter,,,,,,,,,,,,securite,,MEJANNES-LES-ALES,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478804818,47880481800027,80.10Z,,,,,,,,,,,sirene,
A.G.P SECURITE,,,a contacter,,,,,,,,,,,,securite,,VILLEPINTE,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890465909,89046590900020,80.10Z,,,,,,,,,,,sirene,
A.G.R SECURITE,,,a contacter,,,,,,,,,,,,securite,,VALENCIENNES,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853862704,85386270400014,80.20Z,,,,,,,,,,,sirene,
A.I.S. PROTECT,,,a contacter,,,,,,,,,,,,securite,,NANTERRE,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495214603,49521460300021,80.10Z,,,,,,,,,,,sirene,
A.M SECURITE,,,a contacter,,,,,,,,,,,,securite,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410898209,41089820900011,80.10Z,,,,,,,,,,,sirene,
A.M.C PROTECTION,,,a contacter,,,,,,,,,,,,securite,,VARANGEVILLE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488631961,48863196100031,80.10Z,,,,,,,,,,,sirene,
A.N.T.E. SECURITY,,,a contacter,,,,,,,,,,,,securite,,SOTTEVILLE-LES-ROUEN,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351371380,35137138000038,80.20Z,,,,,,,,,,,sirene,
A.P.R. SECURITY SARL,,,a contacter,,,,,,,,,,,,securite,,BRON,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483037420,48303742000054,80.10Z,,,,,,,,,,,sirene,
