nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
3 R PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530224492,53022449200013,81.21Z,,,,,,,,,,,sirene,
3 VALLEES PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,LES BELLEVILLE,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884321951,88432195100011,81.21Z,,,,,,,,,,,sirene,
31-09 SERVICES PRO,,,a contacter,,,,,,,,,,,,proprete,,AUTERIVE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824668651,82466865100022,81.21Z,,,,,,,,,,,sirene,
360 MAKER,,,a contacter,,,,,,,,,,,,proprete,,VILLEURBANNE,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907705834,90770583400014,81.21Z,,,,,,,,,,,sirene,
3D MEDITERRANEE,,,a contacter,,,,,,,,,,,,proprete,,SAINT-AUNES,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431996941,43199694100057,81.29A,,,,,,,,,,,sirene,
3D MULTISERVICES,,,a contacter,,,,,,,,,,,,proprete,,SAINT-OUEN-L'AUMONE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822710075,82271007500026,81.29A,,,,,,,,,,,sirene,
3G SERVICES ASNP,,,a contacter,,,,,,,,,,,,proprete,,DEUIL-LA-BARRE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793064403,79306440300025,81.21Z,,,,,,,,,,,sirene,
3G SERVICES ENVIRONNEMENT,,,a contacter,,,,,,,,,,,,proprete,,DEUIL-LA-BARRE,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895105690,89510569000013,81.22Z,,,,,,,,,,,sirene,
3ID NORD,,,a contacter,,,,,,,,,,,,proprete,,SAINT-MARCEL-LES-VALENCE,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892733395,89273339500016,81.22Z,,,,,,,,,,,sirene,
3MG PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,CYSOING,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750144438,75014443800025,81.21Z,,,,,,,,,,,sirene,
3N PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,MARSEILLE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838957686,83895768600010,81.22Z,,,,,,,,,,,sirene,
3P,,,a contacter,,,,,,,,,,,,proprete,,VERSAILLES,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828373795,82837379500024,81.21Z,,,,,,,,,,,sirene,
3P PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,CHARVIEU-CHAVAGNEUX,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849523451,84952345100045,81.21Z,,,,,,,,,,,sirene,
3P SERVICES,,,a contacter,,,,,,,,,,,,proprete,,CHARENTON-LE-PONT,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507389104,50738910400047,81.22Z,,,,,,,,,,,sirene,
3V NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,MAUREPAS,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403679459,40367945900038,81.21Z,,,,,,,,,,,sirene,
45 VERT NATURE,,,a contacter,,,,,,,,,,,,proprete,,SAINT-MARTIN-D'ABBAT,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514964139,51496413900034,81.30Z,,,,,,,,,,,sirene,
4A GROUP,,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914523089,91452308900011,81.22Z,,,,,,,,,,,sirene,
4D NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,MARAUSSAN,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814213229,81421322900051,81.21Z,,,,,,,,,,,sirene,
4GO (FOUR GO),,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914023502,91402350200018,81.29B,,,,,,,,,,,sirene,
5M CONCEPT,,,a contacter,,,,,,,,,,,,proprete,,DOMPIERRE-SUR-YON,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888182870,88818287000012,81.22Z,,,,,,,,,,,sirene,
6EME SENS,,,a contacter,,,,,,,,,,,,proprete,,FEYZIN,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509030664,50903066400056,81.22Z,,,,,,,,,,,sirene,
7 OU NET,,,a contacter,,,,,,,,,,,,proprete,,LYON,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882640949,88264094900013,81.21Z,,,,,,,,,,,sirene,
A &D (AIDE ET DOMICILE),,,a contacter,,,,,,,,,,,,proprete,,LAMPERTHEIM,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510913270,51091327000011,81.21Z,,,,,,,,,,,sirene,
A 2 C M ASSIST CONSEILS COMPETENCES EN M,,,a contacter,,,,,,,,,,,,proprete,,CAILLOUX-SUR-FONTAINES,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450253729,45025372900039,81.21Z,,,,,,,,,,,sirene,
A 4 SERVICES,,,a contacter,,,,,,,,,,,,proprete,,MOUTIERS,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443706783,44370678300018,81.21Z,,,,,,,,,,,sirene,
A BOUT DE BRANCHE,,,a contacter,,,,,,,,,,,,proprete,,ALLAN,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883521122,88352112200019,81.30Z,,,,,,,,,,,sirene,
A BRUNET PAYSAGE,,,a contacter,,,,,,,,,,,,proprete,,POITIERS,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435021142,43502114200029,81.30Z,,,,,,,,,,,sirene,
A C L NET,,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485093553,48509355300025,81.22Z,,,,,,,,,,,sirene,
A C NET,,,a contacter,,,,,,,,,,,,proprete,,LES ABYMES,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430202200,43020220000035,81.30Z,,,,,,,,,,,sirene,
A CHACUN SON JARDIN,,,a contacter,,,,,,,,,,,,proprete,,LOUPLANDE,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751022252,75102225200025,81.30Z,,,,,,,,,,,sirene,
A DOM'SERVICES,,,a contacter,,,,,,,,,,,,proprete,,SARAN,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444561294,44456129400034,81.21Z,,,,,,,,,,,sirene,
A L EAU JARDIN,,,a contacter,,,,,,,,,,,,proprete,,PLAN-DE-CUQUES,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508931730,50893173000024,81.30Z,,,,,,,,,,,sirene,
A L'ECLAT,,,a contacter,,,,,,,,,,,,proprete,,VAULX-EN-VELIN,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830289096,83028909600026,81.21Z,,,,,,,,,,,sirene,
A LOUISIANE,,,a contacter,,,,,,,,,,,,proprete,,SURESNES,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392290169,39229016900037,81.21Z,,,,,,,,,,,sirene,
A R T PAYSAGE ELAGAGE,,,a contacter,,,,,,,,,,,,proprete,,LA BALME-DE-SILLINGY,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531292290,53129229000032,81.30Z,,,,,,,,,,,sirene,
A S PLUS,,,a contacter,,,,,,,,,,,,proprete,,MONTIGNY-LES-CORMEILLES,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492155627,49215562700028,81.21Z,,,,,,,,,,,sirene,
A TOUSERVICES,,,a contacter,,,,,,,,,,,,proprete,,PALAISEAU,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488373929,48837392900030,81.21Z,,,,,,,,,,,sirene,
A VOTRE SERVICE,,,a contacter,,,,,,,,,,,,proprete,,AYTRE,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488684424,48868442400036,81.21Z,,,,,,,,,,,sirene,
A&S NETT,,,a contacter,,,,,,,,,,,,proprete,,FORTSCHWIHR,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914869433,91486943300013,81.21Z,,,,,,,,,,,sirene,
A'NIM SERVICES,,,a contacter,,,,,,,,,,,,proprete,,NIMES,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504858218,50485821800028,81.21Z,,,,,,,,,,,sirene,
A-CLEAN 13,,,a contacter,,,,,,,,,,,,proprete,,LA DESTROUSSE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790436687,79043668700020,81.21Z,,,,,,,,,,,sirene,
A-L PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,EVRY-COURCOURONNES,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523560704,52356070400026,81.22Z,,,,,,,,,,,sirene,
A.A. DOMICILE,,,a contacter,,,,,,,,,,,,proprete,,MARLENHEIM,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483660130,48366013000020,81.30Z,,,,,,,,,,,sirene,
A.B.F JARDIN,,,a contacter,,,,,,,,,,,,proprete,,MANDUEL,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413659335,41365933500033,81.30Z,,,,,,,,,,,sirene,
A.BC.DOM SERVICES AUX PRO'S,,,a contacter,,,,,,,,,,,,proprete,,MONTMERLE-SUR-SAONE,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824004527,82400452700019,81.21Z,,,,,,,,,,,sirene,
A.C. NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,MARSEILLE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833067747,83306774700026,81.21Z,,,,,,,,,,,sirene,
